Site,Asset Tag,S/N,Prov Task
3901,ETAG17068,Q2PV-2K72-K4SR,afb01c47-235c-f011-877b-002248b15a0a
,ETAG17071,Q4EM-4MPH-S4HH,afb01c47-235c-f011-877b-002248b15a0a
,ETAG17070,Q4EM-82UL-C3YL,afb01c47-235c-f011-877b-002248b15a0a
,ETAG17073,Q4EM-T9JF-RUFS,afb01c47-235c-f011-877b-002248b15a0a
,ETAG17072,Q4EM-LAHN-N6JU,afb01c47-235c-f011-877b-002248b15a0a
2558,ETAG17075,Q4EM-7479-B4JZ,02a5597e-4b08-f011-bae3-0022483dedd6
,ETAG17074,Q4EM-KPW3-47AS,02a5597e-4b08-f011-bae3-0022483dedd6
,ETAG17077,Q2PV-3JDK-PN7A,02a5597e-4b08-f011-bae3-0022483dedd6
2917,ETAG17076,Q4EM-6JUQ-9MS4,02a5597e-4b08-f011-bae3-0022483dedd6
,ETAG17079,Q2PV-R7HC-72E6,02a5597e-4b08-f011-bae3-0022483dedd6
,ETAG17078,Q4EM-DXK8-4BXK,02a5597e-4b08-f011-bae3-0022483dedd6
3206,ETAG17086,Q2PV-Y3XS-UAKR,84fd488f-c818-f011-998a-0022483dedd6
,ETAG17089,Q4EM-NCZQ-SK6Z,84fd488f-c818-f011-998a-0022483dedd6
,ETAG17088,Q4EM-UWFH-LGVK,84fd488f-c818-f011-998a-0022483dedd6
3214,ETAG17097,Q4EM-LHG4-CE7B,c1e02f6e-c618-f011-998a-0022483dedd6
,ETAG17096,Q4EM-YVYP-3VZM,c1e02f6e-c618-f011-998a-0022483dedd6
,ETAG17099,Q4EM-MHEN-ZBMY,c1e02f6e-c618-f011-998a-0022483dedd6
,ETAG17098,Q2PV-AKPH-5NCH,c1e02f6e-c618-f011-998a-0022483dedd6
3922,ETAG17101,Q2PV-NECK-P6MQ,75ea7d14-cb18-f011-998a-0022483dedd6
,ETAG17100,Q4EM-TE83-R7F9,75ea7d14-cb18-f011-998a-0022483dedd6
,ETAG17103,Q4EM-C3X2-QAVB,75ea7d14-cb18-f011-998a-0022483dedd6
,ETAG17102,Q4EM-EK4Z-JRNU,75ea7d14-cb18-f011-998a-0022483dedd6
,ETAG17105,Q4EM-ZUU4-NKQ6,75ea7d14-cb18-f011-998a-0022483dedd6
2105,ETAG17104,Q4EM-U397-BGHN,6982fbaf-4908-f011-bae3-0022483dedd6
,ETAG17107,Q2PV-JZX6-F233,6982fbaf-4908-f011-bae3-0022483dedd6
,ETAG17106,Q4EM-E55L-HMJL,6982fbaf-4908-f011-bae3-0022483dedd6
